"Product_Collection","Vertical_Segment","Processor_Number","Status","Launch_Date","Lithography(nm)","nb_of_Cores","nb_of_Threads","Processor_Base_Frequency(MHz)","Cache_Size(MB)","Type_Of_Cache","TDP(Watts)","Max_Memory_Size(GB)","Max_Memory_Bandwidth(GB/s)","Graphics_Base_Frequency(MHz)","Graphics_Max_Dynamic_Frequency(MHz)","Instruction_Set","Recommended_Customer_Price(USD)"
"Legacy Intel® Pentium® Processor","Mobile","B980","Launched",2012,32,2,2,2400,2,"Original",35,16,21.3,650,1150,"64-bit",64
"Legacy Intel® Pentium® Processor","Desktop","G645T","End of Life",2012,32,2,2,2500,3,"SmartCache",35,32,17,650,1100,"64-bit",64
"Legacy Intel® Pentium® Processor","Mobile","977","Launched",2012,32,2,2,1400,2,"L3",17,16.38,21.3,350,1000,"64-bit",86.5
"Legacy Intel® Pentium® Processor","Mobile","P6200","End of Interactive Support",2010,32,2,2,2130,3,"SmartCache",35,8,17.1,500,667,"64-bit",86.5
"Legacy Intel® Pentium® Processor","Desktop","G6950","End of Interactive Support",2010,32,2,2,2800,3,"SmartCache",73,16.38,17,533,1050,"64-bit",86.5
"Legacy Intel® Pentium® Processor","Desktop","E6500","End of Interactive Support",2008,45,2,4,2930,2,"L2",65,32,25.6,350,1050,"64-bit",71.5
"Legacy Intel® Pentium® Processor","Desktop","E5400","End of Interactive Support",2009,45,2,4,2700,2,"L2",65,32,25.6,350,1050,"64-bit",67
"Legacy Intel® Pentium® Processor","Desktop","E2180","End of Interactive Support",2007,65,2,4,2000,1,"L2",65,32,25.6,350,1050,"64-bit",74
"Legacy Intel® Pentium® Processor","Mobile","T2130","End of Interactive Support",2007,65,2,4,1860,1,"L2",31,32,25.6,350,1050,"32-bit",74
"Legacy Intel® Pentium® Processor","Desktop","925","End of Interactive Support",2006,65,2,4,3000,4,"L2",95,32,25.6,350,1050,"64-bit",74
"Legacy Intel® Pentium® Processor","Desktop","830","End of Interactive Support",2005,90,2,4,3000,2,"L2",130,32,25.6,350,1050,"64-bit",316
"Legacy Intel® Pentium® Processor","Desktop","640","End of Interactive Support",2005,90,1,2,3200,2,"L2",84,32,25.6,350,1050,"64-bit",67
"Legacy Intel® Pentium® Processor","Desktop","506","End of Interactive Support",2005,90,1,2,2660,1,"L2",84,32,25.6,350,1050,"64-bit",67
"Legacy Intel® Pentium® Processor","Mobile","987","Launched",2012,32,2,2,1500,2,"Original",17,16.38,21.3,350,1000,"64-bit",67
"Legacy Intel® Pentium® Processor","Mobile","P6100","End of Interactive Support",2010,32,2,2,2000,3,"SmartCache",35,8,17.1,500,667,"64-bit",67
"Legacy Intel® Pentium® Processor","Mobile","U5600","End of Interactive Support",2011,32,2,2,1330,3,"SmartCache",18,8,12.8,166,500,"64-bit",67
"Legacy Intel® Pentium® Processor","Desktop","G6951","End of Interactive Support",2011,32,2,2,2800,3,"SmartCache",73,16.38,17,533,1050,"64-bit",67
"Legacy Intel® Pentium® Processor","Mobile","T3400","End of Interactive Support",2008,65,2,4,2160,1,"L2",35,32,25.6,350,1050,"64-bit",67
"Legacy Intel® Pentium® Processor","Desktop","E5300","End of Interactive Support",2008,45,2,4,2600,2,"L2",65,32,25.6,350,1050,"64-bit",67
"Legacy Intel® Pentium® Processor","Mobile","T2080","End of Interactive Support",2007,65,2,4,1730,1,"L2",31,32,25.6,350,1050,"32-bit",999
"Legacy Intel® Pentium® Processor","Desktop","E2160","End of Interactive Support",2006,65,2,4,1800,1,"L2",65,32,25.6,350,1050,"64-bit",999
"Legacy Intel® Pentium® Processor","Desktop","965","End of Interactive Support",2006,65,2,4,3730,4,"L2",130,32,25.6,350,1050,"64-bit",999
"Legacy Intel® Pentium® Processor","Desktop","920","End of Interactive Support",2006,65,2,4,2800,4,"L2",95,32,25.6,350,1050,"64-bit",74
"Legacy Intel® Pentium® Processor","Desktop","820","End of Interactive Support",2005,90,2,4,2800,2,"L2",95,32,25.6,350,1050,"64-bit",74
"Legacy Intel® Pentium® Processor","Desktop","631","End of Interactive Support",2006,65,1,2,3000,2,"L2",86,32,25.6,350,1050,"64-bit",77
"Legacy Intel® Pentium® Processor","Desktop","520","End of Interactive Support",2004,90,1,2,2800,1,"L2",84,32,25.6,350,1050,"32-bit",77
"Legacy Intel® Pentium® Processor","Desktop","505J","End of Interactive Support",2005,90,1,2,2660,1,"L2",84,32,25.6,350,1050,"64-bit",77
"Legacy Intel® Pentium® Processor","Mobile","997","Launched",2012,32,2,2,1600,2,"L3",17,16,21.3,350,1000,"64-bit",77
"Legacy Intel® Pentium® Processor","Mobile","U5400","End of Interactive Support",2010,32,2,2,1200,3,"SmartCache",18,8,12.8,166,500,"64-bit",77
"Legacy Intel® Pentium® Processor","Mobile","P6000","End of Interactive Support",2010,32,2,2,1860,3,"SmartCache",35,8,17.1,500,667,"64-bit",77
"Legacy Intel® Pentium® Processor","Desktop","E6300","End of Interactive Support",2009,45,2,4,2800,2,"L2",65,32,25.6,350,1050,"64-bit",77
"Legacy Intel® Pentium® Processor","Mobile","T4200","End of Interactive Support",2009,45,2,4,2000,1,"L2",35,32,25.6,350,1050,"64-bit",72
"Legacy Intel® Pentium® Processor","Desktop","E5200","End of Interactive Support",2008,45,2,4,2500,2,"L2",65,32,25.6,350,1050,"64-bit",72
"Legacy Intel® Pentium® Processor","Desktop","E2140","End of Interactive Support",2007,65,2,4,1600,1,"L2",65,32,25.6,350,1050,"64-bit",999
